Postcode,Region,Farm,Acid_grassland,Arable_horticulture,Broadleaf_woodland,Coniferous_woodland,Fen_marsh_ swamp,Freshwater,Improved_grassland,Suburban,Urban,Heather_grassland,Neutral_grassland,Saltmarsh,Resolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE28 3LY,Cambridgeshire,JB,20349.78934,1501166.404,0,0,0,0,885581.3377,734079.4447,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE28 5RR,Cambridgeshire,PW,0,2266946.786,234336.1593,0,17013.73675,0,410141.2782,212711.2952,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE7 2HP,Cambridgeshire,JW,0,3048585.456,0,0,0,0,51170.99272,25567.38956,15853.1432,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YO30 1AA,Yorkshire,BL,0,2344052.284,99.56867498,0,0,0,463684.2686,282739.2953,50601.56636,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YO30 1AN,Yorkshire,JJ,0,2330458.834,30612.9218,0,0,0,736067.4587,16733.3742,27304.39167,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YO32 2RE,Yorkshire,MG,0,2276592.545,227783.032,0,0,0,589736.6301,47064.76606,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YO32 2RQ,Yorkshire,BM,0,2392797.47,119126.122,0,0,0,579927.8155,49325.57442,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YO61 3LG,Yorkshire,IE,0,1874106.412,29457.8287,0,0,0,994963.2232,177998.5301,64650.98514,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV33 9QB,Oxfordshire,RF,0,7176599.005,83453.13758,0,0,0,2310306.9,2643807.795,321438.2994,0,29932.21681,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV35 0HQ,Oxfordshire,DB,0,9318228.012,248047.742,0,0,0,2295388.324,655452.3755,48420.90326,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LN5 0RD,Nottinghamshire,CL,0,7979436.033,398691.587,0,0,21645.31921,3439683.096,227134.1103,34355.2514,0,464591.9606,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LN5 0SP,Nottinghamshire,WB,0,11597950.72,158751.9448,0,0,0,508690.5568,300144.131,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 1EJ,Bedfordshire,WW,0,9273649.595,769489.1827,236827.5086,0,0,1665998.954,501102.8539,118469.2589,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 1QT,Bedfordshire,MF,0,7640001.251,492625.2849,0,0,266052.9114,3359506.952,263685.6724,543626.8639,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 2BU,Bedfordshire,DU,0,10987010.73,120803.8034,0,0,7817.211177,1203416.588,232553.6889,13935.33056,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 2EE,Bedfordshire,TE,0,10636698.78,216359.4026,0,0,20696.96303,1420508.255,238260.6635,33011.71075,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 2PD,Bedfordshire,JP,0,8503473.229,89572.92921,0,0,6051.837294,3606935.783,324479.4269,35024.15067,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG13 9LF,Nottinghamshire,MC,0,11001488.81,193733.1029,0,0,5942.187261,1039834.763,318047.1874,6491.308176,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG13 9PE,Nottinghamshire,WS,0,8965261.517,652670.331,0,0,467820.822,2321074.773,97875.72354,47669.00298,6942.581569,6222.599953,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG32 3HX,Nottinghamshire,AS,0,9300198.667,479865.4698,0,0,20587.56939,2251396.992,454953.4528,58535.19888,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN29 7JT,Bedfordshire,WG,0,8892134.136,395657.4452,0,0,0,2707391.544,549307.1013,21047.1307,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR15 1RT,Norfolk,DS,0,6738454.585,1099481.69,0,0,52287.43093,4126894.617,509189.6524,39229.38055,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR15 2QL,Norfolk,TW,0,9786866.549,578660.3181,8428.531936,0,16647.11143,1702982.395,439512.2425,32440.21476,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR16 1SN,Norfolk,WE,0,9790222.254,483201.0901,0,0,0,1393351.727,855008.9988,14127.07843,0,29626.19751,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OX17 1AS,Oxfordshire,RH,0,8941360.646,228413.9031,0,0,11814.82672,2964624.581,397887.931,21435.48379,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OX17 1QB,Oxfordshire,AT,0,7855407.266,146712.3136,3382.64195,0,116654.2828,4229421.394,213959.4567,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE26 2XF,Cambridgeshire,PD,0,10703453.48,53779.99136,0,0,65935.38631,851225.5393,766016.1783,125126.7825,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE28 3LY,Cambridgeshire,JB,20349.78934,5746210.221,7918.239119,0,0,1017020.743,3767645.329,1572570.152,33211.86638,0,5474.649297,395136.3647,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE28 5RR,Cambridgeshire,PW,0,10539552.88,360923.5271,13768.33064,17013.73675,0,1170143.147,347402.295,116705.7222,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE7 2HP,Cambridgeshire,JW,0,12160991.92,0,0,0,0,96160.40756,281421.4473,26963.58305,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YO30 1AA,Yorkshire,BL,0,10008462.33,69665.60164,376513.2141,0,0,1637093.908,333402.6831,140399.6111,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YO30 1AN,Yorkshire,JJ,0,8579401.09,138959.5258,0,0,5302.633738,3410674.601,287032.1169,136854.2994,0,7313.080948,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YO32 2RE,Yorkshire,MG,0,9234002.377,428380.9465,0,0,0,2510341.931,343885.9388,16513.16363,0,32412.99976,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YO32 2RQ,Yorkshire,BM,0,9748193.493,397045.8043,0,0,0,2003841.037,360149.6808,49532.11923,0,6775.219485,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YO61 3LG,Yorkshire,IE,0,9603952.261,156622.6726,90393.87642,0,18566.90541,2362597.796,237030.1886,82943.58251,0,13430.07568,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
